time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,149421;-0,0884;0,7187;0,4918;0,875;stairs;Samsung Galaxy S10;Isaías
1,154473;-0,0852;0,7121;0,5133;0,882;stairs;Samsung Galaxy S10;Isaías
1,159187;-0,0804;0,705;0,5343;0,888;stairs;Samsung Galaxy S10;Isaías
1,164296;-0,0682;0,7045;0,5446;0,893;stairs;Samsung Galaxy S10;Isaías
1,169988;-0,0601;0,7065;0,5514;0,898;stairs;Samsung Galaxy S10;Isaías
1,174297;-0,0464;0,7143;0,5494;0,902;stairs;Samsung Galaxy S10;Isaías
1,180964;-0,0362;0,7231;0,5428;0,905;stairs;Samsung Galaxy S10;Isaías
1,186901;-0,0251;0,7353;0,5265;0,905;stairs;Samsung Galaxy S10;Isaías
1,190066;-0,0159;0,7446;0,5089;0,902;stairs;Samsung Galaxy S10;Isaías
1,194805;-0,0103;0,7512;0,4906;0,897;stairs;Samsung Galaxy S10;Isaías
1,199888;-0,0107;0,7532;0,4725;0,889;stairs;Samsung Galaxy S10;Isaías
1,204542;-0,0088;0,7566;0,4576;0,884;stairs;Samsung Galaxy S10;Isaías
1,213015;-0,0039;0,7588;0,4429;0,879;stairs;Samsung Galaxy S10;Isaías
1,214907;0,0054;0,7605;0,4287;0,873;stairs;Samsung Galaxy S10;Isaías
1,220781;0,0156;0,7654;0,419;0,873;stairs;Samsung Galaxy S10;Isaías
1,224865;0,0239;0,771;0,4089;0,873;stairs;Samsung Galaxy S10;Isaías
1,230287;0,033;0,7786;0,4046;0,878;stairs;Samsung Galaxy S10;Isaías
1,235793;0,043;0,7862;0,4067;0,886;stairs;Samsung Galaxy S10;Isaías
1,240156;0,045;0,7988;0,4182;0,903;stairs;Samsung Galaxy S10;Isaías
1,246609;0,0481;0,8069;0,4297;0,915;stairs;Samsung Galaxy S10;Isaías
1,250559;0,0469;0,8162;0,4419;0,929;stairs;Samsung Galaxy S10;Isaías
1,255273;0,0374;0,8198;0,4566;0,939;stairs;Samsung Galaxy S10;Isaías
1,261082;0,0337;0,8189;0,471;0,945;stairs;Samsung Galaxy S10;Isaías
1,265627;0,0286;0,8142;0,4813;0,946;stairs;Samsung Galaxy S10;Isaías
1,270524;0,0222;0,8096;0,4886;0,946;stairs;Samsung Galaxy S10;Isaías
1,276686;0,019;0,8037;0,4996;0,947;stairs;Samsung Galaxy S10;Isaías
1,28107;0,012;0,8006;0,5147;0,952;stairs;Samsung Galaxy S10;Isaías
1,285923;0,0061;0,7969;0,5326;0,958;stairs;Samsung Galaxy S10;Isaías
1,291901;-0,0061;0,7874;0,5519;0,962;stairs;Samsung Galaxy S10;Isaías
1,297446;-0,0188;0,7788;0,5653;0,963;stairs;Samsung Galaxy S10;Isaías
1,303642;-0,0318;0,7727;0,5692;0,96;stairs;Samsung Galaxy S10;Isaías
1,307002;-0,0428;0,7661;0,5658;0,953;stairs;Samsung Galaxy S10;Isaías
