time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,616308;-0,0234;0,1471;0,9689;0,98;standing;Samsung Galaxy S10;Isaías
0,62139;-0,0203;0,1493;0,9699;0,981;standing;Samsung Galaxy S10;Isaías
0,625963;-0,0188;0,1527;0,9691;0,981;standing;Samsung Galaxy S10;Isaías
0,631966;-0,02;0,1576;0,9774;0,99;standing;Samsung Galaxy S10;Isaías
0,63628;-0,0249;0,1603;0,9869;1;standing;Samsung Galaxy S10;Isaías
0,641349;-0,0247;0,1622;0,9923;1,006;standing;Samsung Galaxy S10;Isaías
0,646067;-0,023;0,1637;0,9974;1,011;standing;Samsung Galaxy S10;Isaías
0,652237;-0,0215;0,1612;1,0018;1,015;standing;Samsung Galaxy S10;Isaías
0,656546;-0,0225;0,1583;1,0031;1,016;standing;Samsung Galaxy S10;Isaías
0,661679;-0,023;0,1576;1,0018;1,014;standing;Samsung Galaxy S10;Isaías
0,666554;-0,0212;0,1578;1,0004;1,013;standing;Samsung Galaxy S10;Isaías
0,672006;-0,0225;0,1561;0,9984;1,011;standing;Samsung Galaxy S10;Isaías
0,67646;-0,0251;0,1571;0,9972;1,01;standing;Samsung Galaxy S10;Isaías
0,682622;-0,0291;0,1546;0,9955;1,008;standing;Samsung Galaxy S10;Isaías
0,68693;-0,0298;0,151;0,9952;1,007;standing;Samsung Galaxy S10;Isaías
0,692312;-0,0281;0,15;0,9955;1,007;standing;Samsung Galaxy S10;Isaías
0,697727;-0,0264;0,1466;0,9957;1,007;standing;Samsung Galaxy S10;Isaías
0,702776;-0,0225;0,1441;0,9957;1,006;standing;Samsung Galaxy S10;Isaías
0,706974;-0,0188;0,1429;0,9945;1,005;standing;Samsung Galaxy S10;Isaías
0,712411;-0,0188;0,1409;0,9928;1,003;standing;Samsung Galaxy S10;Isaías
0,717373;-0,0166;0,1395;0,9926;1,002;standing;Samsung Galaxy S10;Isaías
0,722595;-0,0166;0,1429;0,9933;1,004;standing;Samsung Galaxy S10;Isaías
0,727391;-0,0164;0,1451;0,9931;1,004;standing;Samsung Galaxy S10;Isaías
0,733216;-0,0164;0,151;0,995;1,007;standing;Samsung Galaxy S10;Isaías
0,737406;-0,0161;0,1488;0,9984;1,01;standing;Samsung Galaxy S10;Isaías
0,74261;-0,0173;0,1468;0,9992;1,01;standing;Samsung Galaxy S10;Isaías
0,747538;-0,0205;0,1456;0,9982;1,009;standing;Samsung Galaxy S10;Isaías
0,752777;-0,0215;0,1449;0,9943;1,005;standing;Samsung Galaxy S10;Isaías
0,758027;-0,0205;0,1459;0,9906;1,002;standing;Samsung Galaxy S10;Isaías
0,762796;-0,0171;0,1481;0,985;0,996;standing;Samsung Galaxy S10;Isaías
0,768563;-0,0154;0,1503;0,9804;0,992;standing;Samsung Galaxy S10;Isaías
0,774287;-0,0159;0,1515;0,9804;0,992;standing;Samsung Galaxy S10;Isaías
0,778154;-0,0142;0,1527;0,9833;0,995;standing;Samsung Galaxy S10;Isaías
0,78303;-0,0132;0,1544;0,9862;0,998;standing;Samsung Galaxy S10;Isaías
0,787927;-0,0142;0,1512;0,9894;1,001;standing;Samsung Galaxy S10;Isaías
0,792973;-0,0168;0,15;0,9926;1,004;standing;Samsung Galaxy S10;Isaías
0,798436;-0,0142;0,149;0,9994;1,011;standing;Samsung Galaxy S10;Isaías
0,803846;-0,0144;0,15;1,0028;1,014;standing;Samsung Galaxy S10;Isaías
0,808181;-0,0156;0,152;1,005;1,017;standing;Samsung Galaxy S10;Isaías
0,813321;-0,0186;0,1537;1,0033;1,015;standing;Samsung Galaxy S10;Isaías
0,818416;-0,023;0,1532;0,9987;1,011;standing;Samsung Galaxy S10;Isaías
0,823501;-0,0259;0,1527;0,995;1,007;standing;Samsung Galaxy S10;Isaías
0,828462;-0,0293;0,1481;0,9918;1,003;standing;Samsung Galaxy S10;Isaías
0,834016;-0,0288;0,1461;0,9899;1,001;standing;Samsung Galaxy S10;Isaías
0,83854;-0,0313;0,1476;0,9904;1,002;standing;Samsung Galaxy S10;Isaías
0,843726;-0,0313;0,1485;0,9879;1;standing;Samsung Galaxy S10;Isaías
0,851092;-0,0303;0,1505;0,9865;0,998;standing;Samsung Galaxy S10;Isaías
0,85664;-0,0323;0,1493;0,9838;0,996;standing;Samsung Galaxy S10;Isaías
0,858893;-0,0347;0,151;0,9772;0,989;standing;Samsung Galaxy S10;Isaías
0,863991;-0,0337;0,1525;0,9706;0,983;standing;Samsung Galaxy S10;Isaías
0,869218;-0,0345;0,152;0,9625;0,975;standing;Samsung Galaxy S10;Isaías
0,874197;-0,0359;0,1503;0,9574;0,97;standing;Samsung Galaxy S10;Isaías
0,879107;-0,0323;0,1515;0,955;0,967;standing;Samsung Galaxy S10;Isaías
0,885291;-0,0281;0,1544;0,9598;0,973;standing;Samsung Galaxy S10;Isaías
0,889259;-0,0234;0,1568;0,9716;0,984;standing;Samsung Galaxy S10;Isaías
0,89457;-0,0239;0,1561;0,9786;0,991;standing;Samsung Galaxy S10;Isaías
0,899495;-0,0266;0,1544;0,9838;0,996;standing;Samsung Galaxy S10;Isaías
0,904553;-0,0239;0,1522;0,9852;0,997;standing;Samsung Galaxy S10;Isaías
0,909548;-0,023;0,152;0,9845;0,996;standing;Samsung Galaxy S10;Isaías
0,914759;-0,0203;0,1512;0,9884;1;standing;Samsung Galaxy S10;Isaías
0,919862;-0,0176;0,15;0,9889;1;standing;Samsung Galaxy S10;Isaías
0,924891;-0,0181;0,15;0,9913;1,003;standing;Samsung Galaxy S10;Isaías
0,929795;-0,0188;0,1456;0,9904;1,001;standing;Samsung Galaxy S10;Isaías
0,935077;-0,02;0,1449;0,9916;1,002;standing;Samsung Galaxy S10;Isaías
0,939934;-0,0232;0,1431;0,9904;1,001;standing;Samsung Galaxy S10;Isaías
0,94508;-0,0259;0,1419;0,9884;0,999;standing;Samsung Galaxy S10;Isaías
0,950582;-0,0264;0,1431;0,9877;0,998;standing;Samsung Galaxy S10;Isaías
0,9552;-0,0261;0,1456;0,9874;0,998;standing;Samsung Galaxy S10;Isaías
0,960271;-0,0215;0,1481;0,9845;0,996;standing;Samsung Galaxy S10;Isaías
0,967996;-0,0195;0,1476;0,984;0,995;standing;Samsung Galaxy S10;Isaías
0,973394;-0,0222;0,1481;0,9833;0,995;standing;Samsung Galaxy S10;Isaías
0,975811;-0,023;0,1463;0,9843;0,995;standing;Samsung Galaxy S10;Isaías
0,980937;-0,0254;0,1429;0,9911;1,002;standing;Samsung Galaxy S10;Isaías
0,985796;-0,0266;0,1402;0,9952;1,005;standing;Samsung Galaxy S10;Isaías
