actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.45404014538245496,0.21619873150105712,0.7141299470632713,1.0286874999999984,2.3155631232445364e-06,4.796249033428816e-07,3.0524411312664084e-06,1.2174843750000022e-05,0.45390715347761446,0.21622621564482028,0.7141920846987648,1.029,-0.04611953216967324,0.3332423411694849,1.5512988673149213,1.5434704813103108
Standing,Alvaro,Unespecified,1,0,0.45399368081942837,0.21621921247357304,0.7141208721956132,1.0286649999999986,2.354779352612144e-06,4.7269783909886334e-07,3.0690869035563156e-06,1.2217775000000022e-05,0.45390715347761446,0.21622621564482028,0.7140912528358961,1.029,-0.053005466840537974,0.41250651095265,1.5074268334101841,1.5133446214612656
Standing,Alvaro,Unespecified,1,0,0.45399430034693533,0.21624458245243136,0.7141038568187539,1.0286324999999987,2.345818439403965e-06,4.461361282790776e-07,3.059314209889783e-06,1.2177443750000021e-05,0.45390715347761446,0.21622621564482028,0.7140912528358961,1.029,-0.04600097345909848,0.5035363859285442,1.5239147838841776,1.530226701041629
Standing,Alvaro,Unespecified,1,0,0.45404200396497585,0.21628845137420732,0.7141160826821268,1.0286599999999992,2.2688881873179893e-06,4.059906006541396e-07,3.149731043015658e-06,1.2524400000000027e-05,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.008028146087207144,0.21883815337238266,1.4104381981910556,1.4289556107164705
Standing,Alvaro,Unespecified,1,0,0.45408392532628433,0.21632426004228347,0.7141729266448195,1.0287799999999994,2.2475853404514326e-06,4.166004826151289e-07,3.061990943814341e-06,1.2151600000000033e-05,0.4540723608128201,0.21633192389006342,0.7140912528358961,1.029,0.011070290411383521,0.17128367786976995,1.499871595717667,1.5165434642263715
Standing,Alvaro,Unespecified,1,0,0.4540899140921853,0.21634447674418625,0.7141706579279047,1.028777499999999,2.2444598550542415e-06,3.924141867784248e-07,3.0160962424499375e-06,1.1977993750000031e-05,0.4540723608128201,0.21633192389006342,0.7140912528358961,1.029,0.009645323691069407,0.25912688035240006,1.6110728615547858,1.6219777790305994
Standing,Alvaro,Unespecified,1,0,0.45404840574921496,0.21635042283298117,0.7141647340559615,1.0287624999999994,2.1575885558943817e-06,3.891077486602105e-07,3.0074258174431284e-06,1.1941093750000033e-05,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.09463321795476531,0.29646492926599555,1.636961453387915,1.6493252400022262
Standing,Alvaro,Unespecified,1,0,0.45398624648934394,0.21636178646934487,0.7141623392992185,1.0287599999999992,2.055100192735524e-06,3.918825202588857e-07,2.990494366524857e-06,1.1852400000000032e-05,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.3231971439171071,0.2861127048112553,1.6821627318901005,1.7084213754323994
Standing,Alvaro,Unespecified,1,0,0.45398149677845695,0.21636059725158585,0.7141733047643051,1.0287774999999995,2.0493638316682196e-06,3.933838308567517e-07,3.015205019810228e-06,1.1967993750000025e-05,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.3460950229033126,0.30561216170317484,1.6210379228721248,1.638595527268845
Standing,Alvaro,Unespecified,1,0,0.45401536428217426,0.21639045983086716,0.7141232669523567,1.0286824999999995,2.004424461504743e-06,3.679561650199587e-07,2.8628465531331927e-06,1.1381693750000025e-05,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.38785981997417673,0.18401348404148754,1.918770736591176,1.9301874241902794
