time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,06358;-0,0342;1,092;0,1459;1,102;walking;Samsung Galaxy S10;Isaías
1,068661;-0,0215;1,1025;0,1544;1,113;walking;Samsung Galaxy S10;Isaías
1,073712;-0,0178;1,1142;0,1695;1,127;walking;Samsung Galaxy S10;Isaías
1,078742;-0,0178;1,1274;0,1908;1,144;walking;Samsung Galaxy S10;Isaías
1,085088;-0,0251;1,1414;0,2184;1,162;walking;Samsung Galaxy S10;Isaías
1,089362;-0,0327;1,1567;0,2516;1,184;walking;Samsung Galaxy S10;Isaías
1,094092;-0,0418;1,1692;0,2973;1,207;walking;Samsung Galaxy S10;Isaías
1,098973;-0,054;1,1858;0,3105;1,227;walking;Samsung Galaxy S10;Isaías
1,104236;-0,0686;1,1912;0,3261;1,237;walking;Samsung Galaxy S10;Isaías
1,109217;-0,086;1,187;0,3471;1,24;walking;Samsung Galaxy S10;Isaías
1,114308;-0,0989;1,1753;0,3618;1,234;walking;Samsung Galaxy S10;Isaías
1,119421;-0,1151;1,1511;0,3706;1,215;walking;Samsung Galaxy S10;Isaías
1,124889;-0,1297;1,1191;0,3816;1,189;walking;Samsung Galaxy S10;Isaías
1,129471;-0,1378;1,0869;0,3901;1,163;walking;Samsung Galaxy S10;Isaías
1,137537;-0,1414;1,059;0,395;1,139;walking;Samsung Galaxy S10;Isaías
1,141009;-0,1405;1,0365;0,3887;1,116;walking;Samsung Galaxy S10;Isaías
1,148123;-0,1329;1,0229;0,3765;1,098;walking;Samsung Galaxy S10;Isaías
1,149904;-0,1197;1,0155;0,3615;1,085;walking;Samsung Galaxy S10;Isaías
1,155055;-0,0955;1,0187;0,352;1,082;walking;Samsung Galaxy S10;Isaías
1,159713;-0,0686;1,0246;0,342;1,082;walking;Samsung Galaxy S10;Isaías
1,165075;-0,0476;1,038;0,3193;1,087;walking;Samsung Galaxy S10;Isaías
1,170489;-0,0327;1,0605;0,3056;1,104;walking;Samsung Galaxy S10;Isaías
1,175562;-0,0247;1,0786;0,3039;1,121;walking;Samsung Galaxy S10;Isaías
1,180338;-0,0232;1,1001;0,3078;1,143;walking;Samsung Galaxy S10;Isaías
1,185514;-0,0249;1,1123;0,3154;1,156;walking;Samsung Galaxy S10;Isaías
1,190386;-0,0273;1,1081;0,3239;1,155;walking;Samsung Galaxy S10;Isaías
1,195594;-0,0325;1,1005;0,3259;1,148;walking;Samsung Galaxy S10;Isaías
1,201585;-0,0393;1,0883;0,3281;1,137;walking;Samsung Galaxy S10;Isaías
1,205673;-0,0496;1,0734;0,3315;1,125;walking;Samsung Galaxy S10;Isaías
